Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Realizasyon
100759;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;BRONCHOREST;11,04;5,72;51,82
100759;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;DICLOFLAM;11,36;12,19;107,33
100759;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;ELEKTRA PLUS JEL;18,09;16,49;91,15
100759;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;ILIADIN;74,76;73,91;98,86
100759;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;MODET;34,61;28,27;81,68
100970;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;DULOXX;12,21;11,58;94,87
100970;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;ETKINIA;9,06;8,09;89,32
100970;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;EVASIF;7,48;8,75;116,98
100970;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;GYREX;20,07;19,43;96,77
100970;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;SECITA;16,55;14,85;89,75
