Çalýþan Sicil No;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Sapma (%)
100759;GÜM - Masraf/Brüt Ciro Oraný (Tüm Ürünler);1;BRONCHOREST;16,80637957;27,76184584;65,18635511
100759;GÜM - Masraf/Brüt Ciro Oraný (Tüm Ürünler);1;DICLOFLAM;2,351204123;2,744306634;16,71919962
100759;GÜM - Masraf/Brüt Ciro Oraný (Tüm Ürünler);1;ELEKTRA PLUS JEL;6,329478885;6,996777898;10,54271647
100759;GÜM - Masraf/Brüt Ciro Oraný (Tüm Ürünler);1;ILIADIN;2,09434011;1,768448894;-15,56056795
100759;GÜM - Masraf/Brüt Ciro Oraný (Tüm Ürünler);1;MODET;8,702404483;9,817740248;12,81640916
100970;GÜM - Masraf/Brüt Ciro Oraný (Tüm Ürünler);1;DULOXX;10,52848661;11,68705998;11,00417766
100970;GÜM - Masraf/Brüt Ciro Oraný (Tüm Ürünler);1;ETKINIA;16,58217247;18,96628381;14,37755722
100970;GÜM - Masraf/Brüt Ciro Oraný (Tüm Ürünler);1;EVASIF;13,4099546;11,56383592;-13,76677794
100970;GÜM - Masraf/Brüt Ciro Oraný (Tüm Ürünler);1;GYREX;5,445357709;5,353138682;1,693534791
100970;GÜM - Masraf/Brüt Ciro Oraný (Tüm Ürünler);1;SECITA;6,601061112;7,08920402;7,394915747
