Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
100137;TM - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA;2474629,794;1952787,625;78,91231368
100137;TM - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS;9212286,547;9576201,75;103,9503244
100137;TM - Hedef Ürünler Kota Realizasyonu;1;MODET;5235858,176;4398618,751;84,0095091
100137;TM - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA;1922272,547;1282357,016;66,71046819
100137;TM - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS;5733384,229;5411732,5;94,38984523
100137;TM - Hedef Ürünler Kota Realizasyonu;2;MODET;3460018,811;3264425,156;94,34703492
100273;TM - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;2188014,433;1282629,899;58,62072384
100273;TM - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;12130050,82;10253711,63;84,53148119
100273;TM - Hedef Ürünler Kota Realizasyonu;1;PARAFLEX;186904,4518;205350,6816;109,8693368
100273;TM - Hedef Ürünler Kota Realizasyonu;1;PARAFON;9408515,162;8847212,375;94,03409808
100273;TM - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST;2067809,949;1010305,75;48,85873339
100273;TM - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM;12114122,39;11399457,25;94,10056203
100273;TM - Hedef Ürünler Kota Realizasyonu;2;PARAFLEX;148760,5795;153039;102,8760445
100273;TM - Hedef Ürünler Kota Realizasyonu;2;PARAFON;6413838,994;7697552,375;120,0147428
100289;TM - Hedef Ürünler Kota Realizasyonu;1;ANTHIX;2068790,812;1688864,344;81,63533664
100289;TM - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1233760,629;1100089,188;89,16552872
100289;TM - Hedef Ürünler Kota Realizasyonu;1;LOCODERM;794429,988;831913,1172;104,718242
100289;TM - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;585414,3255;980489,7188;167,4864581
100289;TM - Hedef Ürünler Kota Realizasyonu;1;NAZOSTER;1315306,957;1334095,625;101,4284626
100289;TM - Hedef Ürünler Kota Realizasyonu;1;PULMOREST;1056238,941;1312590,719;124,2702449
100289;TM - Hedef Ürünler Kota Realizasyonu;1;SPANOL;235517,199;249608,25;105,9830242
100289;TM - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;3781029,086;3401739,66;89,96861919
100289;TM - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;1366277,059;1570539,189;114,9502715
100289;TM - Hedef Ürünler Kota Realizasyonu;2;ANTHIX;1025493,738;687311,3751;67,02248387
100289;TM - Hedef Ürünler Kota Realizasyonu;2;FLUREND;2290565,224;2287196,187;99,85291678
100289;TM - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;15532042,73;17266690,91;111,1681909
100289;TM - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;431706,2531;638588,7345;147,9220488
100289;TM - Hedef Ürünler Kota Realizasyonu;2;PULMOREST;597014,5298;503795,8028;84,38585288
100302;TM - Hedef Ürünler Kota Realizasyonu;1;EVASIF;2310769,112;2556071,844;110,6156314
100302;TM - Hedef Ürünler Kota Realizasyonu;1;FERROVEN;1269476,188;1290595,578;101,6636303
100302;TM - Hedef Ürünler Kota Realizasyonu;2;EVASIF;2798181,818;3011652;107,6288889
100302;TM - Hedef Ürünler Kota Realizasyonu;2;FERROVEN;1312380,966;1245822,25;94,92839981
100546;TM - Hedef Ürünler Kota Realizasyonu;1;DULOXX;3926718,536;3477586,501;88,56215359
100546;TM - Hedef Ürünler Kota Realizasyonu;1;ETKINIA;1867892,475;1631632,36;87,35151413
100546;TM - Hedef Ürünler Kota Realizasyonu;1;GYREX;7765565,718;7658847,499;98,62575087
100546;TM - Hedef Ürünler Kota Realizasyonu;1;SECITA;3147438,244;3124414,251;99,26848469
100546;TM - Hedef Ürünler Kota Realizasyonu;2;DULOXX;3960623,556;3621865,125;91,44684098
100546;TM - Hedef Ürünler Kota Realizasyonu;2;ETKINIA;2026920,168;1645901,797;81,20210275
100546;TM - Hedef Ürünler Kota Realizasyonu;2;GYREX;7959692,121;8020768,702;100,7673234
100546;TM - Hedef Ürünler Kota Realizasyonu;2;SAYFREN;875211,3211;752277,1836;85,95377659
100546;TM - Hedef Ürünler Kota Realizasyonu;2;SECITA;3503720,328;3255752,375;92,92272414
101897;TM - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA;1052124,174;680723;64,69987258
101897;TM - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS;3007397,37;3032597,75;100,8379465
101897;TM - Hedef Ürünler Kota Realizasyonu;2;MODET;1875913,853;1456666,406;77,65102879
