Çalşan Sicil No;Gösterge Adı;Periyot;Planlanan;Gerçekleşen;Sonuç 
100137;TM - Evolution İndeks;1;100;101,89;101,89
100273;TM - Evolution İndeks;1;100;105,43;105,43
100289;TM - Evolution İndeks;1;100;104,48;104,48
100546;TM - Evolution İndeks;1;100;108,63;108,63
100302;TM - Evolution İndeks;1;100;84,75;84,75
100137;TM - Evolution İndeks;2;100;96,36;96,36
100273;TM - Evolution İndeks;2;100;103,2;103,2
100289;TM - Evolution İndeks;2;100;93,08;93,08
100546;TM - Evolution İndeks;2;100;111,38;111,38
100302;TM - Evolution İndeks;2;100;88,72;88,72
