Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100079;TSMv1 - Toplam Grup Kota Realizasyonu;1;74916,26;73307,48;97,85
100079;TSMv1 - Toplam Grup Kota Realizasyonu;2;72744,24;87822,37;120,73
100079;TSMv1 - Toplam Grup Kota Realizasyonu;3;80137,81;113804,88;142,01
100101;TSMv1 - Toplam Grup Kota Realizasyonu;1;82105,78;84309,52;102,68
100101;TSMv1 - Toplam Grup Kota Realizasyonu;2;85051,68;86820,87;102,08
100101;TSMv1 - Toplam Grup Kota Realizasyonu;3;91108,07;96431,33;105,84
100102;TSMv1 - Toplam Grup Kota Realizasyonu;1;76768,84;83072,03;108,21
100102;TSMv1 - Toplam Grup Kota Realizasyonu;2;96746,90;104327,33;107,84
100102;TSMv1 - Toplam Grup Kota Realizasyonu;3;94325,63;104114,63;110,38
100121;TSMv1 - Toplam Grup Kota Realizasyonu;1;80609,97;80240,19;99,54
100121;TSMv1 - Toplam Grup Kota Realizasyonu;2;90067,15;96381,51;107,01
100121;TSMv1 - Toplam Grup Kota Realizasyonu;3;97894,02;131554,15;134,38
100166;TSMv1 - Toplam Grup Kota Realizasyonu;1;63438,88;62680,20;98,80
100166;TSMv1 - Toplam Grup Kota Realizasyonu;2;69000,56;71748,67;103,98
100166;TSMv1 - Toplam Grup Kota Realizasyonu;3;75666,47;81824,61;108,14
100194;TSMv1 - Toplam Grup Kota Realizasyonu;1;82448,56;88586,50;107,44
100194;TSMv1 - Toplam Grup Kota Realizasyonu;2;86068,30;86438,75;100,43
100194;TSMv1 - Toplam Grup Kota Realizasyonu;3;89699,82;119198,37;132,89
100195;TSMv1 - Toplam Grup Kota Realizasyonu;1;80645,58;81914,12;101,57
100195;TSMv1 - Toplam Grup Kota Realizasyonu;2;87333,02;117837,24;134,93
100195;TSMv1 - Toplam Grup Kota Realizasyonu;3;92788,19;103395,66;111,43
100244;TSMv1 - Toplam Grup Kota Realizasyonu;1;52821,89;39008,57;73,85
100244;TSMv1 - Toplam Grup Kota Realizasyonu;2;57047,60;55030,87;96,46
100244;TSMv1 - Toplam Grup Kota Realizasyonu;3;63594,07;66519,72;104,60
100248;TSMv1 - Toplam Grup Kota Realizasyonu;1;67092,04;90306,79;134,60
100248;TSMv1 - Toplam Grup Kota Realizasyonu;2;70144,63;90256,06;128,67
100248;TSMv1 - Toplam Grup Kota Realizasyonu;3;79133,88;105577,28;133,42
100265;TSMv1 - Toplam Grup Kota Realizasyonu;1;56321,40;61447,44;109,10
100265;TSMv1 - Toplam Grup Kota Realizasyonu;2;56462,91;64121,65;113,56
100265;TSMv1 - Toplam Grup Kota Realizasyonu;3;60049,53;74341,00;123,80
100288;TSMv1 - Toplam Grup Kota Realizasyonu;1;64001,85;54821,07;85,66
100288;TSMv1 - Toplam Grup Kota Realizasyonu;2;72340,95;63326,42;87,54
100288;TSMv1 - Toplam Grup Kota Realizasyonu;3;75619,00;78568,93;103,90
100292;TSMv1 - Toplam Grup Kota Realizasyonu;1;60708,50;67760,28;111,62
100292;TSMv1 - Toplam Grup Kota Realizasyonu;2;59311,59;93199,97;157,14
100292;TSMv1 - Toplam Grup Kota Realizasyonu;3;64883,96;86479,47;133,28
100321;TSMv1 - Toplam Grup Kota Realizasyonu;1;42711,73;49502,28;115,90
100321;TSMv1 - Toplam Grup Kota Realizasyonu;2;43874,33;51297,83;116,92
100321;TSMv1 - Toplam Grup Kota Realizasyonu;3;46122,59;72340,94;156,84
100341;TSMv1 - Toplam Grup Kota Realizasyonu;1;90946,20;93740,99;103,07
100341;TSMv1 - Toplam Grup Kota Realizasyonu;2;96189,01;100863,45;104,86
100341;TSMv1 - Toplam Grup Kota Realizasyonu;3;107571,36;102510,26;95,30
100453;TSMv1 - Toplam Grup Kota Realizasyonu;1;75248,56;73036,88;97,06
100453;TSMv1 - Toplam Grup Kota Realizasyonu;2;98850,15;89003,33;90,04
100453;TSMv1 - Toplam Grup Kota Realizasyonu;3;98940,36;105160,72;106,29
100463;TSMv1 - Toplam Grup Kota Realizasyonu;1;64492,22;62480,24;96,88
100463;TSMv1 - Toplam Grup Kota Realizasyonu;2;79122,06;52677,61;66,58
100463;TSMv1 - Toplam Grup Kota Realizasyonu;3;85472,01;86812,32;101,57
100514;TSMv1 - Toplam Grup Kota Realizasyonu;1;81556,31;98504,11;120,78
100514;TSMv1 - Toplam Grup Kota Realizasyonu;2;85051,04;104675,68;123,07
100514;TSMv1 - Toplam Grup Kota Realizasyonu;3;90068,69;119224,17;132,37
100527;TSMv1 - Toplam Grup Kota Realizasyonu;1;83849,43;84445,04;100,71
100527;TSMv1 - Toplam Grup Kota Realizasyonu;2;88822,70;90547,25;101,94
100527;TSMv1 - Toplam Grup Kota Realizasyonu;3;97862,73;103248,22;105,50
100577;TSMv1 - Toplam Grup Kota Realizasyonu;1;88603,56;110966,93;125,24
100577;TSMv1 - Toplam Grup Kota Realizasyonu;2;88876,36;114021,62;128,29
100577;TSMv1 - Toplam Grup Kota Realizasyonu;3;94412,40;131924,82;139,73
100592;TSMv1 - Toplam Grup Kota Realizasyonu;1;60329,54;63736,12;105,65
100592;TSMv1 - Toplam Grup Kota Realizasyonu;2;67105,73;69389,31;103,40
100592;TSMv1 - Toplam Grup Kota Realizasyonu;3;76710,08;80863,51;105,41
100669;TSMv1 - Toplam Grup Kota Realizasyonu;1;72843,28;70962,15;97,42
100669;TSMv1 - Toplam Grup Kota Realizasyonu;2;73862,01;72108,19;97,63
100669;TSMv1 - Toplam Grup Kota Realizasyonu;3;84006,97;68873,35;81,99
100797;TSMv1 - Toplam Grup Kota Realizasyonu;2;79002,26;68972,28;87,30
100797;TSMv1 - Toplam Grup Kota Realizasyonu;3;78020,27;75751,99;97,09
100799;TSMv1 - Toplam Grup Kota Realizasyonu;1;76960,10;79834,64;103,74
100799;TSMv1 - Toplam Grup Kota Realizasyonu;2;82210,52;81148,59;98,71
100799;TSMv1 - Toplam Grup Kota Realizasyonu;3;87055,68;111741,72;128,36
101482;TSMv1 - Toplam Grup Kota Realizasyonu;1;82948,71;81127,27;97,80
101482;TSMv1 - Toplam Grup Kota Realizasyonu;2;89373,36;98053,17;109,71
101482;TSMv1 - Toplam Grup Kota Realizasyonu;3;103480,58;65633,58;63,43
101483;TSMv1 - Toplam Grup Kota Realizasyonu;1;56191,25;37816,19;67,30
101483;TSMv1 - Toplam Grup Kota Realizasyonu;2;63036,47;53805,75;85,36
101483;TSMv1 - Toplam Grup Kota Realizasyonu;3;69062,02;65819,41;95,30
101487;TSMv1 - Toplam Grup Kota Realizasyonu;1;84364,45;49098,09;58,20
101487;TSMv1 - Toplam Grup Kota Realizasyonu;2;92757,51;69276,58;74,69
101487;TSMv1 - Toplam Grup Kota Realizasyonu;3;99305,73;92885,54;93,53
101490;TSMv1 - Toplam Grup Kota Realizasyonu;1;74474,98;58950,71;79,16
101490;TSMv1 - Toplam Grup Kota Realizasyonu;2;84531,56;72931,50;86,28
101490;TSMv1 - Toplam Grup Kota Realizasyonu;3;87180,20;81732,04;93,75
101553;TSMv1 - Toplam Grup Kota Realizasyonu;1;59610,10;39308,29;65,94
101553;TSMv1 - Toplam Grup Kota Realizasyonu;2;79135,72;48091,18;60,77
101553;TSMv1 - Toplam Grup Kota Realizasyonu;3;79326,88;81454,06;102,68
101668;TSMv1 - Toplam Grup Kota Realizasyonu;1;65551,78;55780,35;85,09
101668;TSMv1 - Toplam Grup Kota Realizasyonu;2;74720,40;52278,15;69,97
101668;TSMv1 - Toplam Grup Kota Realizasyonu;3;77381,06;79758,13;103,07
101669;TSMv1 - Toplam Grup Kota Realizasyonu;1;53615,72;34975,72;65,23
101669;TSMv1 - Toplam Grup Kota Realizasyonu;2;61960,55;46250,61;74,65
101669;TSMv1 - Toplam Grup Kota Realizasyonu;3;63982,08;67913,82;106,15
101696;TSMv1 - Toplam Grup Kota Realizasyonu;1;79350,46;102130,59;128,71
101696;TSMv1 - Toplam Grup Kota Realizasyonu;2;86790,10;102790,95;118,44
101696;TSMv1 - Toplam Grup Kota Realizasyonu;3;93262,18;120192,58;128,88
101824;TSMv1 - Toplam Grup Kota Realizasyonu;1;66737,99;40542,93;60,75
101824;TSMv1 - Toplam Grup Kota Realizasyonu;2;73354,54;38110,87;51,95
101824;TSMv1 - Toplam Grup Kota Realizasyonu;3;85308,31;67990,59;79,70
