Çalýþan Sicil No;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Gerçekleþme (%)
101533;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;HIRUDOID-ATC;43,71;37,78;86,45
101533;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;ELEKTRA PLUS-ATC;15,60;13,27;85,02
101034;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;PARAFON-ATC;13,96;12,00;85,98
101034;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;DICLOFLAM-ATC;4,88;4,72;96,84
101034;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;BRONCHOREST-MOL;9,20;6,11;66,35
101271;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;CREBROS-ATC;5,46;5,30;97,06
101749;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;MODET-ATC;12,87;12,14;94,35
101749;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;ALLERSET-ATC;12,65;14,26;112,76
100727;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;ACETUDIL-MOL;12,38;14,27;115,31
100727;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;FLEXO TOPIKAL-ATC;5,70;3,98;69,87
101903;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;KOMOX-MOL;22,21;23,99;108,01
101903;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;TRIBUDAT TAB-ATC;14,35;13,61;94,88
101898;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;MAGNIS-MOL;26,70;27,78;104,04
101898;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;TERBISIL TOP-ATC;4,82;4,25;88,26
101898;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;TERBISIL TAB-ATC;26,23;30,97;118,09
101427;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;GYREX-ATC;3,97;4,61;116,29
101427;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;DULOXX-ATC;7,51;10,1;134,54
101427;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;LEV-END-MOL;5,51;4,9;88,95
101427;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;ELEPSI-MOL;10,3;10,88;105,62
101029;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;PHOCUSS-ATC;1,36;2,53;186,53
101029;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;UKRA-MOL;4,21;2,68;63,6
101029;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;ETKINIA-MOL;9,22;8,31;90,12
101029;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;COGITO-ATC;12,98;12,69;97,78
101455;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;SECITA-ATC;5,6;5,63;100,47
101455;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;SAYFREN-ATC;0,57;0,48;84,1
101455;ÜM - Seçilen ürün ATC4 veya Molekül Pazar indeksi;1;FERROVEN-ATC;13,77;18,04;130,95
