Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sapma (%)
102315;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;CREBROS;16645965,00;15737279,00;94,54
102315;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;DRAXOL;10478634,00;8168661,00;77,96
102315;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;DULOXX;26180843,00;26875216,00;102,65
102315;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;GYREX;60618024,00;55181986,00;91,03
102315;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;HİRUDOİD;45258377,00;47263111,00;104,43
102315;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;JUVELTA;3950167,00;4579570,00;115,93
102315;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;MODET;22753658,00;22730304,00;99,9
102315;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;OXFET;5761477,00;7421656,00;128,82
102315;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;SECİTA;33960792,00;35180677,00;103,59
101964;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;ACETUDİL;10266125,00;11302216,00;110,09
101964;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;APIKOBAL PLUS;19207514,00;20581905,00;107,16
101964;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;BARICUS;231499,04;281175,00;121,46
101964;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;DİCLOFLAM;49128283,00;49029910,00;99,8
101964;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;ENORNO;1234203,38;1918375,00;155,43
101964;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;İLİADİN;64277044,00;80765455,00;125,65
101964;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;NAZOSTER;13257334,00;15059271,00;113,59
101964;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;PİNİX;12081022,00;11088875,00;91,79
101964;PAZM - Lansman veya Secilen Ürün Net Master Kota Realizasyonu TL;1;TERBİSİL;25053632;27758263;110,8
