Çalışan Sicil No;Gösterge Adı ;Periyot;Urun;Planlanan;Gerçekleşen;Sonuç 
101964;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;DICLOFLAM;4,699240955;5,21363134;110,9462441
101964;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;ILIADIN;36,68265886;39,98294644;108,9968603
101964;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;NAZOSTER;11,7910544;11,1716844;94,74711947
101964;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;TERBISIL TAB;42,38313487;42,33123915;99,87755574
101964;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;TERBISIL TOP;4,411921954;4,175398813;94,63899988
102315;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;HIRUDOID;36,14700899;40,87772997;113,0874479
102315;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;JUVELTA;7,487957157;10,17566038;135,8936778
102315;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;MODET;13,99417912;13,01021006;92,96872612
102315;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;OXFET;3,039559051;5,064511807;166,6199512
102315;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;CREBROS;70,15595345;73,79678088;105,1896201
102315;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;DRAXOL;11,00235933;10,23197712;92,99802718
102315;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;DULOXX;23,81456489;22,46198452;94,32036495
102315;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;GYREX;30,32766106;28,80356038;94,97455252
102315;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;SECITA;19,59258294;19,0625728;97,29484298
101964;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;ACETUDIL;12,90491414;13,73348227;106,4205629
101964;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;APIKOBAL PLUS;37,73882457;36,257343;96,07438338
101964;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;PINIX;25,24660399;21,66125059;85,79867059
