Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç
102201;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;CREBROS;16.645.965,00;15.737.279,00;94,54
102201;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;MODET;22.753.658,00;22.730.304,00;99,9
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ACETUDİL;10.266.125,00;11.302.216,00;110,09
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;FLEXO GRUP;12.406.949,00;11.715.140,00;94,42
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;FORFLU;2.749.896,00;2.058.832,00;74,87
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;MAGNİS;3.895.253,00;4.145.764,00;106,43
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;PİNİX;6.032.532,00;5.601.556,00;92,86
102216;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;TRİBUDAT FORTE;10.134.476,00;7.732.682,00;76,3
101903;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;APIKOBAL;66.019.141,00;53.366.340,00;80,83
101903;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;APIKOBAL PLUS;19.207.514,00;20.581.905,00;107,16
101903;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ENORNO;1.234.203,38;1.918.375,00;155,43
101903;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;UKRA;3.183.295,00;2.574.194,00;80,87
101533;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;DRAXOL;10.478.634,00;8.168.661,00;77,96
101533;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ELEKTRA FORTE TABLET;4.772.964,00;4.332.501,00;90,77
101533;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ELEKTRA JEL;871.118,18;1.564.568,24;179,6
101533;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ELEKTRA PLUS JEL;19.654.432,00;15.068.842,00;76,67
101533;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;HİRUDOİD;45.258.377,00;47.263.111,00;104,43
101427;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;DULOXX;26.180.843,00;26.875.216,00;102,65
101427;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ELEPSİ;5.402.282,35;4.060.330,00;75,16
101427;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;GYREX;60.618.024,00;55.181.986,00;91,03
101427;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;LEV-END;11.224.326,00;10.176.986,00;90,67
101427;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;SAYFREN;2.651.305,00;2.296.475,00;86,62
101256;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ANTHIX;3.128.892,00;2.277.416,00;72,79
101256;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;FLUREND;16.624.593,00;4.915.073,00;29,57
101256;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;İLİADİN;64.277.044,00;80.765.455,00;125,65
101256;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;LOCODERM;9.438.077,00;9.324.110,00;98,79
101273;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ANTHIX;2.351.084,00;1.970.712,00;83,82
101273;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;FLEXO GRUP;9.671.395,00;7.013.670,00;72,52
101273;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;TERBİSİL;11.077.585,00;12.643.517,00;114,14
101273;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;THERMOFLEX;868.948,00;1.020.665,00;117,46
